Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	samir.v.gor	Jan 13, 2016	Yes	Least rate best mobile	Amazing mobile but battery slight weak
2	sagar_kadlak	Jan 13, 2016	Yes	Battery issue	Battery backup not good
3	Dr  S A Laskar	Jan 13, 2016	Yes	Perfect	I find this product and their services are very good.
4	mohit	Jan 13, 2016	Yes	ossum	this phone very high speed and high picture qwality and high video resolution
5	RAHUL	Jan 13, 2016	Yes	nice phone	This is my first android device.happy with the device and I think it is a great smartphone .
6	Ajay Lad	Jan 13, 2016	Yes	Good phone	Received as per describe in the website,
7	sanjay	Jan 13, 2016	Yes	not good	Battory back up is not good
8	hanishkhetrapal	Jan 13, 2016	Yes	value of money in terms of price	Perfect mobile at a remarkable price..
9	asim	Jan 13, 2016	Yes	you got what you desire.	Simply good product simple to handle it light weighted easy to carry and fast internet speed this is amazing product which gives you satisfaction of expensive goods.
