Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	sen943566	Mar 26, 2016	Yes	Good Product	best phone in lowest budget battery backup is very nice
2	krsat000	Mar 26, 2016	Yes	Good phone with nice look.	Good price range
3	skdubeyvns	Mar 26, 2016	Yes	Good mobile	Good mobile .. Slim set  battery backup is very good but voice clearty is not so good.. Overall VFM
4	inderpaljsr	Mar 26, 2016	Yes	gud product from intex	Gud voice clairity.battery back up is excellent.
5	karthik.dayalan007	Mar 26, 2016	Yes	Its a perfect product for my mother...its been a week since i purchased this turbo	Battery backup is tremendous more than a week. Wow. Worth buying and also to tell about call recording its very useful. Price wise and snapdeal delivery service is good
6	MAHANTESH N BENNI	Mar 26, 2016	Yes	Turbo S1 MOBILE IS GOOD PRODUCT BATTERY  IS SO GOOD	Turbo S1 MOBILE IS GOOD PRODUCT BATTERY  IS SO GOOD
7	Bit2 Tomar	Mar 26, 2016	Yes	Nice Phone, Very slim.	This is a good phone and I had a thrill in using this phone.
8	vissu	Mar 26, 2016	Yes	GOOD PHONE	PHONE VOICE CLARITY IS EXCELLENT AND BATTERY LIFE GOOD
