Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	rohitsingh10114219	Feb 27, 2016	Yes	Good phone	Good phone
2	shantha kumar	Feb 27, 2016	Yes	good phone	very good and fast dispatch very good
3	khalil	Feb 27, 2016	Yes	Better	Better conditions and fast delivery.. At low prices
4	Tanay	Feb 27, 2016	Yes	Nice....	Good  mobile  @  this  price......so m happy  with this mobile. ...I appreciate  you to purchase this with blindness
5	Amit sajjan	Feb 27, 2016	Yes	Economical cheapest best & beutiful	I love this kind of electronic products. Thanks to all of electronic snap deal deeler. I humbly request u to provide me cdma router unlocked please
6	kkp	Feb 27, 2016	Yes	good mobile for basic use	good mobile for basic use
7	Kaka	Feb 27, 2016	Yes	good mobile	Very good mobile. Bluetooth, internet, video and audio player ...
8	Rj dj	Feb 27, 2016	Yes	Awesome	Purchased 2 more
