Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
45	Saurav Agarwal	Feb 13, 2016	Yes	Got exactly what I would have got from a retail outlet at 30 percent discount.	I know everything about the phone and all I would say is I got exactly what I have expected at 30 percent discount from a retail outlet.
46	Praveen Kumar	Feb 13, 2016	Yes	I received an excellent set of iPhone 5S	May be a comparison of physical appearance of 5S with 6S can be shown so that we know the appearance and size difference. This will help customers to make a easy decision.
47	Guest	Feb 13, 2016	Yes	great phone	thanks snapdeal nice and original one
48	sa	Feb 13, 2016	Yes	good discounts	good service
49	Guest	Feb 13, 2016	Yes	sandeep kumar	Awesome phone quick delivery thank u snapdeal
50	shubham.agrl96	Feb 13, 2016	Yes	Excellent Product	good service
51	Srane	Feb 09, 2016	Yes	Value for money	Bought this phone 15 days back, genune product. It comes with ios 9 even though mentioned as ios 7. And iphone at this price you wont get in stores.
52	shishir	Feb 09, 2016	Yes	apple i phone 5s	good and den its iphn
53	Susi	Feb 09, 2016	Yes	It was a good experience	Nice one... Looking forward for another discount
54	sak	Feb 09, 2016	Yes	super sexy	good work snapdeal  delivered on time and if you don hav an iphone you don hav an iphone .. haha
55	Nitin	Feb 09, 2016	Yes	Nitin Menon	Well packed and received on expected date.Happy Customer :)
56	prathap	Feb 09, 2016	Yes	good product	very speed delivery
57	Navin Barboza	Feb 09, 2016	Yes	Nice Service and Awesome Product	Ordered for this phone coz got it at a reasonable price.. better than amazon... and would continue shopping with SnapDeal...
58	Guest	Feb 09, 2016	Yes	good phone	Nice phone with small screen doesnt lag in speed.. Good performance! Mfd In month of November.. In Box accessories are latest
59	apple3perfumes	Feb 09, 2016	Yes	Good Product	good and safety delivery with in 3days,
60	Manpreet	Feb 09, 2016	Yes	Nice phone...	Received on time
61	Kumar	Feb 06, 2016	Yes	iPhone 5s feedback	Meets the requirement
62	siju k	Feb 06, 2016	Yes	suprb....iphone 5s	superb product,good battery life ,and good packing , delivery within 3 days... thnks to snapdeal
63	palanisamy	Feb 06, 2016	Yes	Best deal for price....	satisfied.. good product. checked under Apple warranty cover. it is covering
64	vidit	Feb 06, 2016	Yes	Value for money phone	A good product in this price range.
65	Guest	Feb 06, 2016	Yes	Excellent Snapdeal	Really very genuine and fine product. Also very fast delivery and i am really happy with the service of snapdeal.. Ty sd
66	praveen	Feb 06, 2016	Yes	blazingly fast delivery	I'm impressed with the blazingly fast delivery of this item. I order it on night and I got the item in the morning. All this with no extra charge.
67	mayankkumar29790	Feb 06, 2016	Yes	Excellent Product	original product and extremity fast delivery by Snapdeal.
68	Guest	Feb 06, 2016	Yes	if u don't have "iPhone" u dont have an iphone	What a phone,I understood the worth of a iPhone after holding and using it with my hands,its a phone with a different beast inside
69	Abhishek	Feb 06, 2016	Yes	Great Product + Great Service & Delivery - Snapdeal !!	Nothing to comment about Apple product, as one can go through plethora of review literature available online...  This post is only and only a salute to Snapdeal..   Ordered the Phone on 14th Jan and received the same within 5 days... viz., 2 days prior to committed date...   Packing was done fantastically... no issue whatsoever with the product quality...  All in all Superb Service from Snapdeal.... Good to see a startup working at such an impeccable delivery mechanism..   Keep it up guys.. !!  Cheers Abhishek
70	Shamnad	Feb 06, 2016	Yes	100% Satisfied Customer. Original Product.	I received the product very fast after order. 100% perfect packing. iPhone was fully sealed. Latest manufactured (Nov 2015) rceievd with iOS 9.1. 100% recommending Snapdeal for your iPhone 5S Purchase. Thanks Snapdeal.
71	sai teja	Feb 03, 2016	Yes	review for iphone	please help them to know how to communicate with customers please remove those type sellers
72	Guest	Feb 03, 2016	Yes	Best Deal Snapdeal	Thank you for providing iPhone for such a low price and instant delivery hats off snapdeal
73	Vishnu	Feb 03, 2016	Yes	Good Product and Prompt Delivery	IPhone 5s is good phone - No doubt  Snapdeal as always good deal and Prompt delivery
74	rwbhutia	Feb 03, 2016	Yes	Iphone 5s.......worth more than gold.	Thank you Snap Deal...Seal packed perfect..trust worthy..keep it up. . n i also like to thank SD courier partner xpressbees..super fast delivery. .thank u from the buttom of my heart..i reccomend to others too......m happy.
75	Brijesh	Feb 03, 2016	Yes	Perfect delivery & Perfect product with perfect condition	Very Very good Snapdeal !
76	mithu	Feb 03, 2016	Yes	good purchased	Good delivery
77	souravduary	Feb 03, 2016	Yes	Excellent Product	its awsm & superb...i lv it
78	Guest	Feb 03, 2016	Yes	fastest delivery	Gd one............
79	Guest	Feb 03, 2016	Yes	looks good	Got my all time fav mobile through snapdeal with safe and secure .   The product is good and original and i hv checked my warranty also
80	Guest	Feb 03, 2016	Yes	I phone 5s	Really good
81	Vinit	Jan 29, 2016	Yes	Good Product	This is my first iPhone.
82	Nidhi	Jan 29, 2016	Yes	Cool and good	I recommend this product
83	KRUPA	Jan 29, 2016	Yes	iPhone 5S 16 GB Space Gray	iPhone 5S 16 GB Space Gray PERFECT AS SHOWN
84	shakti_rajbhar	Jan 29, 2016	Yes	Good Product	awesome phone
85	Guest	Jan 29, 2016	Yes	good product	Good product
86	Guest	Jan 29, 2016	Yes	excellent mobile by snap deal	As usual snapdeal stands for its  quality & nice delivery
87	Neha	Jan 29, 2016	Yes	I phone 5s	Wow quick and amazing
88	Aruba	Jan 29, 2016	Yes	Good fone and best price	Original apple product with fast delivery and best price option.satisfied with the purchase and would recommend to others.
89	Deepak	Jan 29, 2016	Yes	Amazing IPHONE 5s	Perfect Gift for all ocassions
