Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
105	jaggu	Jan 29, 2015	Yes	nice	good my phone is working in good condection i am feeling happy by using this phone
106	aryan	Jan 29, 2015	Yes	gud to use	Really nice to have it
107	ARISH.	Jan 29, 2015	Yes	only looking good	Looks good.   Inside empty. . Its my first parchase from htc  Desire 516. Gsm.  But its futures the most important thing is camera.  But according to camera its -00001. Only look good
108	VEMBULI	Jan 29, 2015	Yes	good	Superb........
109	Raj	Jan 29, 2015	Yes	Nice	Under 10K this is the best mobile
110	digvijay	Jan 29, 2015	Yes	it could be a better	battery back up is not so good
111	Ashwani	Jan 12, 2015	Yes	good mobile in budget	Nice gadget
112	raj	Jan 12, 2015	Yes	good phone @ decent price	gud phone @ d price !
113	Anbu	Jan 12, 2015	Yes	Good	Good
114	deep_c_b	Jan 12, 2015	Yes	Good Mobile....	Good features Good buy price.....
115	Pankaj Yadav	Jan 12, 2015	Yes	Average, Ordinary	phone features are good. only problem is with phone speaker while calling.  delivery took more than 10 days which was little disappointed.
116	surbhi jindal	Jan 12, 2015	Yes	That's Good Stuff	Its a good phone under this price
117	Inder	Jan 12, 2015	Yes	snap deal is best  for online shoping	I buy HTC 516 is a good phone. It's delivered to me on the very right time.Thanks. amoral.
118	Sumit Jindal	Jan 12, 2015	Yes	Its very good mobile	This is the best phone in this price by HTC. the camera quality and htc touch sence are so cool... and if you listen the music on this phone than you feel that your money spent is worth it on this phone. becoz it's really nice... so my openion it's a superbbbbbbb!!!!!! phone.
119	Anubhav Singla	Jan 12, 2015	Yes	That's Good Stuff	Great deal. Totally worth the price and contrary to the negative comments listed here. Snapdeal offered this price which is far low than the one in the local markets. :)
120	Prasenjit Sanyal	Jan 12, 2015	Yes	That's Good Stuff	Hi It is a good communication android device with dual sim and 1.2 processor and good 5 mp camera with excellent features, screen appears better than Samsung mobile, battery consumption is more in android phone, same here also. please check the always fluctuating price before you purchase .. i feel bad as price slashed down soon after my purchase!
121	A.K.¥.	Dec 29, 2014	Yes	it's awesome device	It's so nice and useful phone.... and thanks for your service... I will place the order in the night at 02:30 am. And order delivered within 3 days. So that your service is too good... And this is my 5th mobile phone that i ordered from here... Thanks snapdeal
122	adi	Dec 29, 2014	Yes	Nice phone.. Go for it	HTC mob. At this price.... Great... Thanks snap deal.. :)
123	Rinku	Dec 29, 2014	Yes	nice phone	Phone is good. But 4GB memory is not enough for all applications of andriod. It do not allow to move apps to sd card, that moves in other company phones in old models.camera is good.
124	dharm	Dec 29, 2014	Yes	i will come back soon at this site	Nice shopping site
125	Srinath	Dec 29, 2014	Yes	Average, Ordinary	mobile getting heat, battery backup  is very low and camera clarity is not that much good
126	suchi.rajat	Dec 29, 2014	Yes	Good phone!!	Good phone and features are also fine, I had reviewed most of the phones in this segment but HTC seemed to be the winner. And as I have used HTC phones before I know they are reliable.
127	MANAS	Dec 29, 2014	Yes	NIC PHONE	IT'S GOOD
128	prasanta	Dec 29, 2014	Yes	'dont judge a book by its cover'	this htc516 mobile is ok as it like to be.the only issue is cam picture quality,it is not that good like samsung & sony.on the other hand snapdeal web shopping has no comparision with others.u will get great deal here.
129	Naresh	Dec 29, 2014	Yes	awesome	Superb
130	john	Dec 29, 2014	Yes	htc	very nice mobile
131	shekar	Dec 18, 2014	Yes	a very good product and great service	love shopping in snapdeal
132	kesavan	Dec 18, 2014	Yes	nice product	It was a nice phone past four yeras am using only HTC brand only.
133	ashok win	Dec 18, 2014	Yes	htc 516	very nice
134	tejas	Dec 18, 2014	Yes	good product	nice
135	jimz	Dec 18, 2014	Yes	goog and afodable	nice one
136	GHANSHYAM	Dec 18, 2014	Yes	Htc Desire 516 4gb Dark Grey by HTC	Snapdeal has a best of the best services. The product is ORIGINAL and is in BEST working condition. Service was fast.   SNAPDEAL LIVES !!!!!!!!
137	Sarmina Yasmin	Dec 18, 2014	Yes	That's Good Stuff	It's a superb combo of quality and class. Amazingly stunning performance! Go for it!
138	rp	Dec 18, 2014	Yes	good	Good
139	Ishrat Zainulabuddin Jainekhan	Dec 18, 2014	Yes	Perfect. It doesn't get any better	Good Quality, Delivery on time
140	sudam	Dec 18, 2014	Yes	super super super	I have use many type of smart phone. Like Sony xperia c, lenovo s850. Samsung galaxy grand. But this s is super.
141	SINGH	Dec 14, 2014	Yes	HTC D516	Good Phone but battery backup in not good
142	NAWAB	Dec 14, 2014	Yes	I PURCHASE HTC DESIRE 516 4GB DARK GREY	I PURCHASE THIS PRODUCT FROM SNAPDEAL . THAT IS REALLY GOOD PRODUCT ,ITS PERFORMANCE IS GOOD. TOUCH IS VERY GOOD AND FAST TO OPERATE.ALSO THE HEAD PHONE SO GOOD.DISPLAY IS ALSO BETTER.5 MP CAMERA IS SO GOOD PICTURE CLEARITY IS SO GOOD AND ALSO VIDEO IS VERY CLEAR AND SMOOTH.NICE VIEW.
143	john	Dec 14, 2014	Yes	perfect	good
144	JK	Dec 14, 2014	Yes	Awesome phone	This is the best phone in this price by HTC.
145	vivek daga	Dec 14, 2014	Yes	That's Good Stuff	good phone in budget and the touch is also very smooth
146	AKS	Dec 14, 2014	Yes	GREAT DEAL	DELIVERY SERVICE IS EXCELLENT AND PRICE MAKING AWESOME
147	Jay	Dec 14, 2014	Yes	Perfect	Perfect fit and excellent
148	SHIVA	Dec 14, 2014	Yes	htc 516	GOOD PHNE, BUT BATTERY ABCKUP IS NOT GOOD.
149	ASHISH	Dec 14, 2014	Yes	GOOD PHONE	GOOD PRODUCT. BEST BUY ONLY WHEN DISCOUNTED.
150	kumar_kumarpritham	Dec 14, 2014	Yes	good one	Good one
151	banty	Dec 05, 2014	Yes	very good product	till now very good performance.
152	Dedha	Dec 05, 2014	Yes	Htc desire 516	nice phone
153	seshu	Dec 05, 2014	Yes	super item.................	best product in best price..................
154	Manoj patel	Dec 05, 2014	Yes	Diply issues	HTC Desire Disply is very bad.
155	pandurang	Dec 05, 2014	Yes	goog product	good product & Service
156	sachin	Dec 05, 2014	Yes	Excellent mobile	Nice
157	TARIQUE	Dec 05, 2014	Yes	Great shopping experience	Perfect mobile
158	ritsarora	Dec 05, 2014	Yes	good phone	Good phone
159	SHAILENDRA KHARWAR	Dec 05, 2014	No	good	good
160	Dinesh	Dec 05, 2014	Yes	This is a very good device	Delivery is quite impressive
161	Parth	Oct 09, 2014	Yes	excellent and good stuff ever .	Good services always. Snapdeal site is the also the best and popular site too .There service and review are also good about my htc it is excellent in condition  I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
162	satish	Oct 09, 2014	Yes	htc	osum mobile
163	ravindra	Oct 09, 2014	Yes	good	very fast delevary...and very safe delevary
164	Zee	Oct 09, 2014	Yes	Nice Phone	overall phone is good except rare camera quality....
165	sonu	Oct 09, 2014	Yes	nice phone	nice cell phone with desirable quality feature ....bt camera quality is not gud
166	JJS	Oct 09, 2014	Yes	Good prodcuct and worth for money	Apart from Internal memory the rest is fine.
167	Ashish	Oct 09, 2014	Yes	nice one from the house of HTC	very good phn
168	verma	Oct 09, 2014	Yes	touch not ok	i am not happy touch problems
169	Vikash Saraf	Oct 09, 2014	Yes	HTC Desire 516	Very poor battery back up not even for half day.screen get hotter while talking more than 2 min.
170	yo yo	Oct 09, 2014	Yes	i'm satisfied with snapdeal	though i'm happy there are some negative reviews i suggest snapdeal to  clear them
171	Asingla	Sep 04, 2014	Yes	Value for money.	Amazing mobile in less price.
172	NANDHU	Sep 04, 2014	Yes	good product	good
173	ankit	Sep 04, 2014	Yes	average phone	bought the phone but have touch problem in the return, home, and setting button.
174	Mukesh Singh	Sep 04, 2014	Yes	Not Good Phone	Left Touch is not working properly
175	KK	Sep 04, 2014	Yes	good phone	good
176	babeesh	Sep 04, 2014	Yes	nice	Nice to use
177	sitangshu	Sep 04, 2014	Yes	HTC 516	Nice to use. Really happy with the phone after using it. HTC sense gives a better using experience.
178	mayank	Sep 04, 2014	No	good option	superb phone.the platform performance and support by htc is cool first take it phone .the camera and resolution is fantastic.
179	Ravikant	Sep 04, 2014	Yes	Perfecto !!!	A good phone to have...
180	Sachin	Sep 04, 2014	Yes	Insanely Great Product......	This is the best phone in this price by HTC. the camera quality and htc touch sence are so cool...  and if you listen the music on this phone than you feel that your money spent is worth it on this phone. becoz it's really nice... so my openion it's a superbbbbbbb!!!!!!  phone.
