Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
68	Shaan	Sep 08, 2015	Yes	Iphone 5C	I am happy with my new Iphone. Thanks you for providing me with the product of my choice with the best deal.
69	Sanjeev Trivedi	Sep 08, 2015	Yes	Just as APPLE made it !   box packed - original	The 5C was delivered in a sealed box - crisp and brand new !  super deal.
70	Nithya	Sep 08, 2015	Yes	Its snapdeal..!!!	Really happy with the product and service..always the best..:)
71	Varun	Aug 29, 2015	Yes	I phone	Great product at such amazing price. Delivery was fast. N iPhone is amazing.
72	SHYAM MUDOOR	Aug 29, 2015	Yes	I phone 5C 8 GB	Good  i phone mobile oparating essy , inter net fast working
73	Anil	Aug 29, 2015	Yes	fast delivery	Ordered for my sister's rakhi gift 1 week prior . however it came faster than that.. and thanks for getting offer from recharge site.  great job team.
74	Iphone <3	Aug 29, 2015	Yes	PERFECT!! Trustable	Beautiful Product. Original Apple Product and delivery in 2nd day. And iPhone is iPhone ;-)
75	sky	Aug 29, 2015	Yes	Good service	Good service and perfect product in cheapest price
76	Souravkrr72	Aug 29, 2015	Yes	If it's not an iphone,it's not an iphone	Amazing product at this price....At first I was reluctant to buy an apple product from snapdeal but the deal made me crazy n I ordered with fingers crossed...the delivery was superb fast thnks to snapdeal n gojavas...I got it within 3 days...I opened the box with anxiety n wt followed was a history ;)....the look s absolutely awesome n eyecatching....the quality of the polycarbonate body is soo good that u won't evn feel dat its a plastic body.... Now coming to the phone- I used to wonder y people says dat iphone s da best...apple s da best!! Now I realized :D....ios is incomparable....buttery smooth with a mixture of funky n classy ui....  Pros-1.Superb design, 2.Excellent camera(both front n rear), 3.apple ecosystem rocks!, 4.Sound quality is great, 5.Itune s amazing.... 6.Display s superb crisp n clear. 7.Great luks....an eyecatcher  Cons- Not much except the battery...The battery s not dat good....if u are a heavy 3g user den u need to charge twice in a single day.Other than this every is fine....  Verdict-If u want to experience an apple product at a cheap price,den must go for it!! Apple rocks!! n finally kudos n thanks 2 Snapdeal for a great experience!! :)
77	prashant	Aug 29, 2015	Yes	very good product nice experience	yes i will recommend this product my friends and family members
78	Ashish Bansal	Aug 29, 2015	Yes	Awesome Phone	I purchase apple 1st Time. And I m loving It.
79	Ram	Aug 29, 2015	Yes	Iphone 5c	As its more reliable bought recently..cant say much as not used fully
80	Rasmi Sarangi	Aug 29, 2015	Yes	Good Product & Services	Myself is very happy with the product of Apple & high quality services provided by Snapdeal.
81	karan	Aug 11, 2015	Yes	<3 this phone is awesome according to price	camera is amazing . music is better than any other product and with apple warranty u should surely buy this product
82	srinivas	Aug 11, 2015	Yes	Exellent	The battry  is exellent the and the phone features is fantastic
83	Gokul mc	Aug 11, 2015	Yes	Super	Super i give 5 stars its very awesome product i buy in snapdeal i saved money
84	drsuraj	Aug 11, 2015	Yes	great	its a very nice product nd got it at a gr8 deal .
85	Kumud Gupta	Aug 11, 2015	Yes	Good product .. value for money !	Bought the product during sale and was delivered within 3 days , Good in usage , slim and fast response. Camera quality not very great but just ok. You may find better quality in Mi brand phones but that's not what you bought this for !  Good quality sound plus decent screen size make this good buy for people who want a phone for daily normal calling not for net surfing,
86	Nick	Aug 11, 2015	Yes	Good phone fro iphone starters....SNAPPED at a unbelievable price in electronics sale on SNAPDEAL!!	Nice phone..using iphone for the first time..gr8 experience..only negative thing is memory..you get only 4.5 gb for use instead of 8 gb...thats a part of deal its d best starting  iphone range one could have....another good thing about 5c is it has bluetooth facility..which is not available in 5s....
87	Harry	Aug 11, 2015	Yes	Product is very good	Product delivered in good and delivery service is excellent. One problem is that it memory  showing 5.26 GB capacity when connected to computer through i-tune.
88	danish	Aug 11, 2015	Yes	Awesome phone	Super fast delivery. i ordered while variant. it's design is simply superb. performance wise there is no words to say. you will get around 5. 2 gb on board.
89	Avinash0502	Aug 11, 2015	Yes	IPhone 5c	I was ordered this amazing phone from snapdeal two week ago... product is totally original...n worth for money....now i would strongly recommended to you go shopping electronic items for Snapdeal...its totally authentic....and phone is working excellent.
90	Aparajit Shome	Aug 11, 2015	Yes	Iphone 5C review	I did not got gift wrap of the product, as the requirement placed by me while ordering the product and I paid the extra charges for gift wrap.
91	prashant	Jul 30, 2015	Yes	Yes I will recommend this product my friends	Yes I will recommend this product my friends and family
92	Jitu	Jul 30, 2015	Yes	Best Deal I Found on Snapdeal	I got the best price deal on Snapdeal for Iphone 5C & get delivered phone with good packing & orignal phone I must say please check prices of snapdeal of anything you buy from any site.
