Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
33	karan	Sep 26, 2015	Yes	Nice product	Smooth touch, functions and other applications.
34	Guest	Sep 26, 2015	Yes	Amazing product	Satisfied with the product fully , no technical problem as well as  original product.
35	Pri	Sep 26, 2015	Yes	Regarding service , quality packing and handling and the main thing delivering the product at time	Keep going u guys realy doing a good job
36	RIDHIMA	Sep 26, 2015	Yes	Superb	Iphone which I got is having wow look.when I opened it was looking like a new born baby.Really amazed to use this phone.
37	Shanky	Sep 26, 2015	Yes	Good phone	The phone is not that much big,anyone can easily use iphone plus.
38	good	Sep 26, 2015	Yes	good	good. happy with the phone and the delivery. It was on time and I am very happy with it
39	Abhishek S	Sep 26, 2015	Yes	Iphone 6plus	Good product, must buy from snapde, as they are offering a great price in comparison of other websites.
40	Akhil	Sep 26, 2015	Yes	Wonderful	It has the best resolution and screen display. But doesn't have an impressive display in the sun.
41	adarsh bhavani	Sep 01, 2015	Yes	Excellent	I had only one mistake,when i bought this product...i bought only 16gb model,by the way this disadvantage do not oughtwiegh to advantages
42	VIBHU	Sep 01, 2015	Yes	Awesome phone in this price range	ULTIMATE MOBILE ,GOOD SERVICE,AND PACKING
43	N.S	Sep 01, 2015	Yes	Amazing device	i am loving my first iPhone. Delivery was in time and in perfect condition.
44	Tikam	Sep 01, 2015	Yes	I phone 6 plus	Hi 6 plus is awesome phone with latest ios awesome phone with bigvscreen slimmest phone..
45	AbhinavN	Sep 01, 2015	Yes	Awesome Experience!	Never realized buying such a high end product would be a breeze. Awesome! Keep delighting the customers...
46	Mubarak Ansari	Sep 01, 2015	Yes	iPhone the name is enough	A very good product from Apple and very fast delivery by Snapdeal... Got this at cheapest price among all online retailers
47	Sam	Sep 01, 2015	Yes	I Phone  6 Plush	Gr8 Phone , Looks Awesome..Bole to Ekdam Zakas........................................
48	nikhil U333	Sep 01, 2015	Yes	Only Snapdeal gave Me COD	Thank you Snapdeal for Cash on delivery !! Nyc Phone !!  Buy it blindly if you're IPhone lover !! I am Using 1st time !!  Only some things I Don't like In Iphone is  1) can't set Ringtone without buying  2) Can't Download Music free  Otherwise Awesome Phone  Thanks
