Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1372	screchamp	Oct 10, 2015	Yes	Aone product w.r.t cost and quality	Title describes all the features like camera,latest version android.  Overall very very well produced launched by micro max with 3gconnectivity.
1373	chandan singh	Oct 10, 2015	Yes	Micromax canvas spark 2is very nice phone i like it.	Micromax spark canvas spark 2 is very nice phone i give 5star to this phone i wanna like it.
1374	Sudhir	Oct 10, 2015	Yes	Amazing Product	Amazing product in this price range, nice camera, big screen, quad core processor & much more.
1375	canvas spark 2 black 4GB	Oct 10, 2015	Yes	Canvas spark 2	I am  very happy  buy this product is too good
1376	SSG	Oct 10, 2015	Yes	Very good	Good phone in this price,,worth of money, looks very good
1377	snapdeal-dil ka deal	Oct 10, 2015	Yes	superrr	SD was very friendly to me and responded to all my quieres.
1378	Akshya Nagar	Oct 10, 2015	Yes	Best Mobile For This Prise	This phone for MMX spark 2 best mobile for this prise
1379	guest	Oct 10, 2015	Yes	Good in little price	The product at this online shopping site are apt to my remark of perfectly well and fine. I have been shopping from this site for months together and every time I ordered a thing, I got satisfaction! Thnx to snapdeal indeed that I am loving it.
1380	BHAWANA MY BEBY SWEET	Oct 10, 2015	Yes	MICROMAX CANVAS SPARK 2 4 GB BLACK VERY- VERY GOOD PHONE	LONG BATREY BACK-UP, SMART PHONE , SMART LOOKING, GOOD PRODUCT , GOOD COLOR BLACK,  GOOD MEMORY , INTERNET FAST SPEED , TOUCH VERY ESELY
1381	Madhu	Oct 10, 2015	Yes	WoW..........	Superb mobile...................................................................................................
1382	Gaurav	Oct 10, 2015	Yes	Micromax	It is a good phone.. I'm enjoying using this phone
1383	tauheed sekh	Oct 10, 2015	Yes	phone	nice product,,,very nice procedure to buying the product on  snapdeal.i think snapdeal is best ecommerce site in the world.
1384	Anusha	Oct 10, 2015	Yes	This mobile consumes less power.	As I said above, this mobile is very useful for long journeys. The ram speed also high. Display touch is most compatible. Cheapest and  best mobile for users. I recommend this for less mobile customers as internal memory and ram size is less. Photos are with high resolution when I take photos by using flash. Finally this is more reliable with some inbuilt apps.
1385	HITESH	Oct 10, 2015	Yes	HITESH CHOKSHI	I so unbelievable  and wonderful  such a fast delivery of my phone. I got delivery of my phone within 5 days of order confirmed from Snapdeal.
1386	rakesh	Oct 10, 2015	Yes	paisa wasul deal by snapdeal. thank you snap deal.	Mobile in this prize range is awesome. Display is too good. Look is also slim and good. awesome mobile.
1387	DANEE	Oct 10, 2015	Yes	REVIEW ABOUT MICROMAX CANVAS SPARK2 4GB BLACK	actually I was registered for this product early and confirmed the order on 30th sep'15 around 12.04pm, immediately I got a sms and email snapdeal, it's a very good response, and that same day night around 8.30pm I got a sms confirmation of shipping that product will be delivered between 7th oct to 11th, but the item is delivered on 3rd oct around 2.00pm, this is my first purchase from e commerce website. I'm very much happy about the service of snapdeal, and the product is very good quality and working good with any problem, it's a money worthy product, I would like to buy more products from snapdeal, it's a very good e commerce website, ''THANK U SNAPDEAL'' and ''THANK U MICROMAX''.  BY PRABHU.A [BANGALORE]
1388	ash	Oct 10, 2015	Yes	Very good this range	Nice product this range ..i am very satisfied
1389	Aashu	Oct 10, 2015	Yes	Good one	too good .... this is really india ka 3g phone
1390	Rana	Oct 10, 2015	Yes	Good	It is good but battery is not so longer. Please think about battry and phone mostly found hang
1391	Sathish	Oct 10, 2015	Yes	Micromax canvas spark 2	Good product and low cost display clarity perfect camara clarity also good not bad for this budget am also referred to my friends.
1392	Ss	Oct 10, 2015	Yes	Good phone	very easy smart phone useful to me in many ways like  video recording fm listening and etc.
1393	spark	Oct 10, 2015	Yes	Micromax Canvas Spark 2 4 GB Black	Ya its work good...... I like very much.....
1394	Chinni	Oct 10, 2015	Yes	Good service and good products	I was so impressed abt the phone and the service given by snapdeal, I will again shop online in snapdeal only..
1395	Dilu	Oct 10, 2015	Yes	Because as per the specification some thing is not available	They took some more price from me ,also they sent message to me for refund but till now no action taken for this.
1396	Snap to scan the disk	Oct 10, 2015	Yes	Micromax nothing like anything.	Micromax Canvas Spark 2 4 GB is what I have expected,  good phone great features at 4000, it real valuable  Thank you so much Snapdeal
1397	Nilkanth	Oct 10, 2015	Yes	Better Buy and Best using	Quite happy and best affordable device for all
1398	Vijay	Oct 10, 2015	Yes	Vijay Kale	Product received is Good in condition & Quality.Overall exp found to be Good and towords Very good.
1399	puja	Oct 10, 2015	Yes	wonderful phone  in this price.	No other mobile company can give u these all features in same price.
1400	Chetan Pandya	Oct 10, 2015	Yes	Good products at this rate	Good products at this rate but its one draw back is only fix battery
1401	muskmelon	Oct 10, 2015	Yes	perfect	worth the price paid and faster delivery
1402	bhimrajsuthar	Oct 10, 2015	Yes	good for low budget family	nice touch, 3G speed good, slim set, nice but in future flip cover added with handset aslo
1403	Harsh.....	Oct 10, 2015	Yes	very  good  product .,.,	nice and big ......................................................................
1404	abcd	Oct 10, 2015	Yes	nice one	nice phone,its work smoothly ,slim phone.
1405	Sanjay	Oct 10, 2015	Yes	Micromax Canvas Spark 2 4 GB Black	It is a good phone with updated features and good look.
1406	Narayan	Oct 10, 2015	Yes	Micromax Canvas Spark 2	The product in all aspects is very good.  A smart phone  with slim look with low cost is amazing.
1407	Dharmendra Singh	Oct 10, 2015	Yes	Good service	snapdeal service for delivery or commitment is very good. all services regarding purchase is too good compare to all.
1408	mpmobile2009	Oct 10, 2015	Yes	Very good product	Awesome model. good look. camera super battery life ok.
1409	K.T.DHANARAJ	Oct 10, 2015	Yes	GREAT AND  EXCELLENT  PHONE	Very nice  and  Excellent phone with more options  in this price range . I really liked this mobile with lowest budget.  And Snapdeal packing and service is perfect.
1410	ragul	Oct 10, 2015	Yes	good but	Its good but lacks internal memory, goo camera features
1411	Parveen mehta	Oct 10, 2015	Yes	Its very good product	Best product and very good services I am satisfied my product is very best
1412	Jeeva	Oct 10, 2015	Yes	A kind of innovation in touch phone family!	The product gives a complete feel of the feather touch phone, sleek and user friendly!  Comes with an ear phone and scratch guard. Cools!
1413	Sp 2	Oct 10, 2015	Yes	Micromax canvas spark 2	It's great product on great price. All features including 5" screen with this phone. Perfect budget smartphone. Don't miss.
1414	payal	Oct 10, 2015	Yes	Great deal	Superb dil ki deal given by snapdeal Best cell in best price in best time which is fulfilled by snapdeal Happy to get such a deal
1415	charles	Oct 10, 2015	Yes	worth for the money	worth for the money , the price mentioned in the snap deal was less  and when they  the supply they charged 160 extra
1416	Sagnik Datta	Oct 10, 2015	Yes	Best android mobile I have ever seen with all super features in it,in so cheap price!	I am presently using it.It is very easy to handle and too light to carry.Very comfortable mobile.Superb specifications and smooth touching.It contains even android lollipop 5.0!It is needless to say that this phone has made a grand success.Perfect phone for every ages.I heartily recommend everyone to buy this mobile and then you will have to go with my opinions.Moreover,Snapdeal gives a super service.They delivered the mobile within two days from the date of order.
1417	Prashant mhatre	Oct 10, 2015	Yes	Good product	This product is nicely and bugetly...  Thnxu SnPdeL
1418	Mahesh	Oct 10, 2015	Yes	Amazing phone	Phone is very good, excellent features in the given price range
1419	vishal	Oct 10, 2015	Yes	Value for money	Not ur latest hightech device but a perfect budget phone fr a small pocket.
1420	leo	Oct 10, 2015	Yes	Awesome phone valuable for money	valuable for money as well as product which is really recommended for lower budget.
1421	sanju	Oct 10, 2015	Yes	Its very good  price cost pay very easy i like it iwant purchase next  time  micromax products	Snapdeal service  very good  i like  coprashion snapdeal
1422	Sparky	Oct 10, 2015	Yes	India ka pehla 3g phone	Features are really nice and service is good
1423	Pramod	Oct 10, 2015	Yes	Good one in low price	Very good in low price delivered at time I am happy with this
1424	rider	Oct 10, 2015	Yes	Good	Awesome phone in this price which I never seen before thanks for this offer
1425	raja	Oct 10, 2015	Yes	Good product provide by micro max	Buy the product by snapdeal  it is easy  It reached to me only 2 working day .and keep updates on curior.
1426	Amar Deshpande	Oct 10, 2015	Yes	Wow really awesome mobile	Got it onetime.Valve for money.Given as gift to my mother.She can easily operate as it has 10 regional languages at her age of 65.
1427	pancham singh	Oct 10, 2015	Yes	So nice	This android set is so good on this price..... i have more order this set ...thnx snapdeal..
